[2023-10-04 16:08:40,480] Iteration  19, score (curr): 924.00
[2023-10-04 16:08:46,686] Iteration  20, score (curr): 912.00
[2023-10-04 16:08:56,107] Iteration  21, score (curr): 908.00
[2023-10-04 16:08:56,780] Iteration  22, score (curr): 896.00
[2023-10-04 16:08:58,496] Iteration  23, score (curr): 884.00
[2023-10-04 16:09:06,529] Iteration  24, score (curr): 872.00
[2023-10-04 16:09:09,598] Iteration  25, score (curr): 860.00
[2023-10-04 16:09:20,041] Iteration  26, score (curr): 840.00
[2023-10-04 16:09:33,241] Iteration  27, score (curr): 828.00
[2023-10-04 16:09:35,744] Iteration  28, score (curr): 816.00
[2023-10-04 16:09:49,580] Iteration  29, score (curr): 788.00
[2023-10-04 16:10:00,311] Iteration  30, score (curr): 776.00
[2023-10-04 16:10:19,708] Iteration  31, score (curr): 764.00
[2023-10-04 16:10:36,681] Iteration  32, score (curr): 752.00
[2023-10-04 16:10:41,111] Iteration  33, score (curr): 740.00
[2023-10-04 16:10:54,763] Iteration  34, score (curr): 728.00
[2023-10-04 16:11:12,925] Iteration  35, score (curr): 716.00
[2023-10-04 16:11:31,530] Iteration  36, score (curr): 712.00
[2023-10-04 16:11:34,067] Iteration  37, score (curr): 700.00
[2023-10-04 16:11:52,287] Iteration  38, score (curr): 688.00
[2023-10-04 16:12:12,579] Iteration  39, score (curr): 676.00
[2023-10-04 16:12:34,209] Iteration  40, score (curr): 664.00
[2023-10-04 16:12:37,739] Iteration  41, score (curr): 652.00
[2023-10-04 16:13:00,008] Iteration  42, score (curr): 624.00
[2023-10-04 16:13:23,101] Iteration  43, score (curr): 580.00
[2023-10-04 16:13:46,144] Iteration  44, score (curr): 568.00
[2023-10-04 16:14:09,285] Iteration  45, score (curr): 548.00
[2023-10-04 16:14:34,067] Iteration  46, score (curr): 544.00
[2023-10-04 16:14:37,605] Iteration  47, score (curr): 532.00
[2023-10-04 16:15:00,904] Iteration  48, score (curr): 520.00
[2023-10-04 16:15:28,123] Iteration  49, score (curr): 508.00
[2023-10-04 16:15:56,426] Iteration  50, score (curr): 496.00
[2023-10-06 14:56:27,906] 2-opt begint met een strafpunten score van: 1562.0
[2023-10-06 14:56:49,936] 2-opt begint met een strafpunten score van: 1562.0
[2023-10-06 15:23:14,604] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-06 15:23:18,588] Iteration   1, score (curr): 1498.00
[2023-10-06 15:23:27,150] Iteration   2, score (curr): 1494.00
[2023-10-06 15:23:45,026] Iteration   3, score (curr): 1482.00
[2023-10-06 15:23:52,854] Iteration   4, score (curr): 1458.00
[2023-10-07 10:46:32,469] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-07 10:46:42,947] Iteration   1, score (curr): 1513.00
[2023-10-07 10:54:18,477] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-07 10:54:30,194] Iteration   1, score (curr): 1513.00
[2023-10-07 11:13:17,733] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-07 11:13:28,604] Iteration   1, score (curr): 1513.00
[2023-10-07 11:17:24,109] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-07 11:17:30,013] Iteration   1, score (curr): 1513.00
[2023-10-07 11:50:55,382] 2-opt ends with tour having total distance: 1513.0
[2023-10-07 11:54:58,566] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-07 11:55:02,491] Iteration   1, score (curr): 1513.00
[2023-10-07 12:01:50,004] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-07 12:01:54,036] Iteration   1, score (curr): 1513.00
[2023-10-07 12:07:51,865] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-07 12:07:53,174] Iteration   1, score (curr): 1498.00
[2023-10-07 12:07:54,481] Iteration   2, score (curr): 1494.00
[2023-10-07 12:07:57,105] Iteration   3, score (curr): 1482.00
[2023-10-07 12:07:59,755] Iteration   4, score (curr): 1450.00
[2023-10-07 12:08:10,257] Iteration   5, score (curr): 1449.00
[2023-10-07 13:34:29,603] 2-opt ends with tour having total distance: 1449.0
[2023-10-08 12:03:55,842] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 12:04:07,897] Iteration   1, score (curr): 1513.00
[2023-10-08 15:24:12,291] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 15:45:09,124] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 15:54:09,755] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 16:00:04,169] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 16:16:05,232] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 16:22:23,865] matplotlib data path: C:\Users\Ella\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
[2023-10-08 16:22:23,954] CONFIGDIR=C:\Users\Ella\.matplotlib
[2023-10-08 16:22:23,961] interactive is False
[2023-10-08 16:22:23,963] platform is win32
[2023-10-08 16:22:24,224] CACHEDIR=C:\Users\Ella\.matplotlib
[2023-10-08 16:22:29,745] Loaded backend tkagg version 8.6.
[2023-10-08 16:26:53,240] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 16:33:03,838] matplotlib data path: C:\Users\Ella\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\mpl-data
[2023-10-08 16:33:03,850] CONFIGDIR=C:\Users\Ella\.matplotlib
[2023-10-08 16:33:03,855] interactive is False
[2023-10-08 16:33:03,856] platform is win32
[2023-10-08 16:33:04,280] CACHEDIR=C:\Users\Ella\.matplotlib
[2023-10-08 16:33:06,621] Loaded backend tkagg version 8.6.
[2023-10-08 16:47:27,451] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 16:48:45,027] 2-opt begint met een strafpunten score van: 1522.0
[2023-10-08 16:50:07,408] Iteration   1, score (curr): 1513.00
